[ INFO] [1546589495.948089465]:  BtNode : Special Move 74. CheckPlan
[ INFO] [1546589495.959357094]: **** CPlan 35 : x=2.438. y=2.342. rz=0.000. rw=1.000. dd=0.025. pd=0.831. ddt=0.869 Angle=0.548  *******
[ INFO] [1546589495.959437986]: **** CPlan 36 : x=2.460. y=2.354. rz=0.000. rw=1.000. dd=0.025. pd=0.856. ddt=0.894 Angle=0.547  *******
[ INFO] [1546589495.959521026]: **** CPlan 37 : x=2.483. y=2.366. rz=0.000. rw=1.000. dd=0.025. pd=0.881. ddt=0.919 Angle=0.545  *******
[ INFO] [1546589495.959598846]: **** CPlan 38 : x=2.505. y=2.377. rz=0.000. rw=1.000. dd=0.025. pd=0.906. ddt=0.944 Angle=0.543  *******
[ INFO] [1546589495.959682528]: **** CPlan 39 : x=2.527. y=2.388. rz=0.000. rw=1.000. dd=0.025. pd=0.931. ddt=0.969 Angle=0.541  *******
[ INFO] [1546589495.959772547]: **** CPlan 40 : x=2.549. y=2.400. rz=0.000. rw=1.000. dd=0.025. pd=0.956. ddt=0.994 Angle=0.539  *******
[ INFO] [1546589495.959826548]: **** CPlan 41 : x=2.572. y=2.411. rz=0.000. rw=1.000. dd=0.025. pd=0.981. ddt=1.019 Angle=0.537  *******
[ INFO] [1546589495.959908219]: **** CPlan 42 : x=2.594. y=2.423. rz=0.000. rw=1.000. dd=0.025. pd=1.006. ddt=1.044 Angle=0.536  *******
[ INFO] [1546589495.959994418]: **** CPlan 43 : x=2.616. y=2.434. rz=0.000. rw=1.000. dd=0.025. pd=1.031. ddt=1.069 Angle=0.534  *******
[ INFO] [1546589495.960075312]: **** CPlan 44 : x=2.638. y=2.445. rz=0.000. rw=1.000. dd=0.025. pd=1.056. ddt=1.094 Angle=0.533  *******
[ INFO] [1546589495.960158134]: **** CPlan 45 : x=2.661. y=2.457. rz=0.000. rw=1.000. dd=0.025. pd=1.081. ddt=1.119 Angle=0.532  *******
[ INFO] [1546589495.960241468]: **** CPlan 46 : x=2.683. y=2.468. rz=0.000. rw=1.000. dd=0.025. pd=1.106. ddt=1.144 Angle=0.530  *******
[ INFO] [1546589495.960328009]: **** CPlan 47 : x=2.705. y=2.480. rz=0.000. rw=1.000. dd=0.025. pd=1.131. ddt=1.169 Angle=0.529  *******
[ INFO] [1546589495.960416693]: **** CPlan 48 : x=2.727. y=2.491. rz=0.000. rw=1.000. dd=0.025. pd=1.156. ddt=1.194 Angle=0.528  *******
[ INFO] [1546589495.960527363]: **** CPlan 49 : x=2.749. y=2.503. rz=0.000. rw=1.000. dd=0.025. pd=1.180. ddt=1.219 Angle=0.527  *******
[ INFO] [1546589495.960605014]: **** CPlan 50 : x=2.772. y=2.514. rz=0.000. rw=1.000. dd=0.025. pd=1.205. ddt=1.244 Angle=0.526  *******
[ INFO] [1546589495.960690613]: **** CPlan 51 : x=2.794. y=2.526. rz=0.000. rw=1.000. dd=0.025. pd=1.230. ddt=1.269 Angle=0.525  *******
[ INFO] [1546589495.960780942]: **** CPlan 52 : x=2.816. y=2.537. rz=0.000. rw=1.000. dd=0.025. pd=1.255. ddt=1.294 Angle=0.524  *******
[ INFO] [1546589495.960870771]: **** CPlan 53 : x=2.838. y=2.548. rz=0.000. rw=1.000. dd=0.025. pd=1.280. ddt=1.319 Angle=0.523  *******
[ INFO] [1546589495.960950188]: **** CPlan 54 : x=2.860. y=2.560. rz=0.000. rw=1.000. dd=0.025. pd=1.305. ddt=1.344 Angle=0.522  *******
[ INFO] [1546589495.961039346]: **** CPlan 55 : x=2.883. y=2.572. rz=0.000. rw=1.000. dd=0.025. pd=1.330. ddt=1.369 Angle=0.521  *******
[ INFO] [1546589495.961128568]: **** CPlan 56 : x=2.905. y=2.583. rz=0.000. rw=1.000. dd=0.025. pd=1.355. ddt=1.394 Angle=0.521  *******
[ INFO] [1546589495.961187722]: **** CPlan 57 : x=2.927. y=2.595. rz=0.000. rw=1.000. dd=0.025. pd=1.380. ddt=1.419 Angle=0.520  *******
[ INFO] [1546589495.961229776]: **** CPlan 58 : x=2.949. y=2.606. rz=0.000. rw=1.000. dd=0.025. pd=1.405. ddt=1.444 Angle=0.519  *******
[ INFO] [1546589495.961267084]: **** CPlan 59 : x=2.971. y=2.618. rz=0.000. rw=1.000. dd=0.025. pd=1.430. ddt=1.469 Angle=0.519  *******
[ INFO] [1546589495.961303950]: **** CPlan 60 : x=2.994. y=2.629. rz=0.000. rw=1.000. dd=0.025. pd=1.455. ddt=1.494 Angle=0.518  *******
[ INFO] [1546589495.961339896]: **** CPlan 61 : x=3.016. y=2.641. rz=0.000. rw=1.000. dd=0.025. pd=1.480. ddt=1.519 Angle=0.517  *******
[ INFO] [1546589495.961425151]: **** CPlan 62 : x=3.038. y=2.653. rz=0.000. rw=1.000. dd=0.025. pd=1.505. ddt=1.544 Angle=0.517  *******
[ INFO] [1546589495.961465462]: **** CPlan 63 : x=3.060. y=2.665. rz=0.000. rw=1.000. dd=0.025. pd=1.530. ddt=1.569 Angle=0.517  *******
[ INFO] [1546589495.961500604]: **** CPlan 64 : x=3.082. y=2.677. rz=0.000. rw=1.000. dd=0.025. pd=1.555. ddt=1.594 Angle=0.516  *******
[ INFO] [1546589495.961534475]: **** CPlan 65 : x=3.104. y=2.688. rz=0.000. rw=1.000. dd=0.025. pd=1.580. ddt=1.619 Angle=0.515  *******
[ INFO] [1546589495.961568625]: **** CPlan 66 : x=3.127. y=2.698. rz=0.000. rw=1.000. dd=0.025. pd=1.605. ddt=1.644 Angle=0.514  *******
[ INFO] [1546589495.961625861]: **** CPlan 67 : x=3.149. y=2.709. rz=0.000. rw=1.000. dd=0.025. pd=1.630. ddt=1.669 Angle=0.513  *******
[ INFO] [1546589495.961691055]: **** CPlan 68 : x=3.169. y=2.724. rz=0.000. rw=1.000. dd=0.025. pd=1.655. ddt=1.694 Angle=0.515  *******
[ INFO] [1546589495.961816076]: **** CPlan 69 : x=3.191. y=2.736. rz=0.000. rw=1.000. dd=0.025. pd=1.680. ddt=1.719 Angle=0.514  *******
[ INFO] [1546589495.961908168]: **** CPlan 70 : x=3.203. y=2.758. rz=0.000. rw=1.000. dd=0.025. pd=1.701. ddt=1.744 Angle=0.522  *******
[ INFO] [1546589495.961974450]: **** CPlan 71 : x=3.219. y=2.777. rz=0.000. rw=1.000. dd=0.025. pd=1.725. ddt=1.769 Angle=0.527  *******
[ INFO] [1546589495.962038455]: **** CPlan 72 : x=3.240. y=2.791. rz=0.000. rw=1.000. dd=0.025. pd=1.750. ddt=1.794 Angle=0.528  *******
[ INFO] [1546589495.962078594]: **** CPlan 73 : x=3.252. y=2.812. rz=0.000. rw=1.000. dd=0.025. pd=1.771. ddt=1.819 Angle=0.535  *******
[ INFO] [1546589495.962112089]: **** CPlan 74 : x=3.269. y=2.831. rz=0.000. rw=1.000. dd=0.025. pd=1.795. ddt=1.844 Angle=0.540  *******
[ INFO] [1546589495.962145875]: **** CPlan 75 : x=3.290. y=2.845. rz=0.000. rw=1.000. dd=0.025. pd=1.820. ddt=1.869 Angle=0.540  *******
[ INFO] [1546589495.962179204]: **** CPlan 76 : x=3.302. y=2.867. rz=0.000. rw=1.000. dd=0.025. pd=1.842. ddt=1.894 Angle=0.547  *******
[ INFO] [1546589495.962212334]: **** CPlan 77 : x=3.319. y=2.885. rz=0.000. rw=1.000. dd=0.025. pd=1.866. ddt=1.919 Angle=0.551  *******
[ INFO] [1546589495.962246635]: **** CPlan 78 : x=3.340. y=2.898. rz=0.000. rw=1.000. dd=0.025. pd=1.891. ddt=1.944 Angle=0.551  *******
[ INFO] [1546589495.962281283]: **** CPlan 79 : x=3.354. y=2.919. rz=0.000. rw=1.000. dd=0.025. pd=1.913. ddt=1.969 Angle=0.556  *******
[ INFO] [1546589495.962315392]: **** CPlan 80 : x=3.372. y=2.937. rz=0.000. rw=1.000. dd=0.025. pd=1.938. ddt=1.994 Angle=0.559  *******
[ INFO] [1546589495.962367460]: **** CPlan 81 : x=3.394. y=2.949. rz=0.000. rw=1.000. dd=0.025. pd=1.963. ddt=2.019 Angle=0.558  *******
[ INFO] [1546589495.962435673]: **** CPlan 82 : x=3.407. y=2.970. rz=0.000. rw=1.000. dd=0.025. pd=1.985. ddt=2.044 Angle=0.564  *******
